manga	link
SIAMO IN 11!	https://www.animeclick.it/manga/9543/siamo-in-11
PRETTY	https://www.animeclick.it/manga/9552/pretty
NANA	https://www.animeclick.it/manga/9567/nana
MARS	https://www.animeclick.it/manga/9568/mars
HANAKIMI	https://www.animeclick.it/manga/9578/hanakimi
X-DAY	https://www.animeclick.it/manga/9584/x-day
HANAYORI DANGO	https://www.animeclick.it/manga/9585/hana-yori-dango
FRUITS BASKET	https://www.animeclick.it/manga/9592/fruit-basket
STROFE D'AMORE	https://www.animeclick.it/manga/9600/strofe-d-amore
SOGNO E ILLUSIONE	https://www.animeclick.it/manga/9615/genei-musou
NEVER ENDING HEART	https://www.animeclick.it/manga/9618/never-ending-heart
WISH	https://www.animeclick.it/manga/9619/wish
REX	https://www.animeclick.it/manga/9622/rex
PARFAIT TIC!	https://www.animeclick.it/manga/9624/parfait-tic
TAMARA	https://www.animeclick.it/manga/9625/tamara
GURU GURU PON-CHAN	https://www.animeclick.it/manga/9626/guru-guru-ponchan
GLOBAL GARDEN	https://www.animeclick.it/manga/9627/global-garden
LUI - IL PRIMO AMORE	https://www.animeclick.it/manga/9628/kare-first-love
OTHELLO	https://www.animeclick.it/manga/9629/othello
FUSHIGI YUGI	https://www.animeclick.it/manga/9635/fushigi-yugi
FUSHIGI YUGI SPECIAL	https://www.animeclick.it/manga/9636/fushigi-yugi-special
MAGIC KNIGHT RAYEARTH	https://www.animeclick.it/manga/9638/rayearth
PRETTY GUARDIAN SAILOR MOON	https://www.animeclick.it/manga/9639/sailor-moon
MAGIC KNIGHT RAYEARTH 2	https://www.animeclick.it/manga/9640/rayearth-2
GET YOU!	https://www.animeclick.it/manga/9644/get-you
LOVE♥MONSTER	https://www.animeclick.it/manga/9648/love-monster
B.O.D.Y.	https://www.animeclick.it/manga/9650/body
GO GO HEAVEN	https://www.animeclick.it/manga/9652/go-go-heaven
PRINCESS AI	https://www.animeclick.it/manga/9653/princess-ai
CIEL – THE LAST AUTUMN STORY	https://www.animeclick.it/manga/9654/ciel
X 1999	https://www.animeclick.it/manga/9661/x-1999
ALICE ACADEMY	https://www.animeclick.it/manga/9663/gakuen-alice
CANDY CANDY	https://www.animeclick.it/manga/9664/candy-candy
PARTNER	https://www.animeclick.it/manga/9665/partner
HIGH SCHOOL DEBUT	https://www.animeclick.it/manga/9673/high-school-debut
BEAUTIFUL WITCH	https://www.animeclick.it/manga/9675/beautiful-witch
B-GIRLS PRIVATE HIGH SCHOOL	https://www.animeclick.it/manga/9676/b-girls-private-high-school
ATTACKER YOU! - MILA E SHIRO	https://www.animeclick.it/manga/9678/attacker-you
EVANGELION IRON MAIDEN	https://www.animeclick.it/manga/9683/evangelion-koutetsu-no-girlfriend-2nd
LIFE - VIVERE PER VIVERE	https://www.animeclick.it/manga/9684/life
HOT GIMMICK	https://www.animeclick.it/manga/9685/hot-gimmick
LA CLESSIDRA - RICORDI D'AMORE	https://www.animeclick.it/manga/9686/sunadokei
NON SONO UN ANGELO	https://www.animeclick.it/manga/9687/tenshi-nanka-ja-nai
ORANGE KISS	https://www.animeclick.it/manga/9689/orange-kiss
CUORI COLPITI	https://www.animeclick.it/manga/9690/cuori-colpiti
PEACH GIRL	https://www.animeclick.it/manga/9691/peach-girl
LADY OSCAR - LE ROSE DI VERSAILLES	https://www.animeclick.it/manga/9692/lady-oscar
LA LEGGENDA DI HIKARI	https://www.animeclick.it/manga/9693/hilary
LA MASCHERA DI VETRO - IL GRANDE SOGNO DI MAYA	https://www.animeclick.it/manga/9694/il-grande-sogno-di-maya
ANDANTE	https://www.animeclick.it/manga/9695/andante
IL GIOCATTOLO DEI BAMBINI - ROSSANA	https://www.animeclick.it/manga/9696/rossana
MA QUANDO MAI?!	https://www.animeclick.it/manga/9700/sonnan-janeeyo
ANATOLIA STORY	https://www.animeclick.it/manga/9701/anatolia-story
HOST CLUB - AMORE IN AFFITTO	https://www.animeclick.it/manga/9704/host-club
DN ANGEL	https://www.animeclick.it/manga/9705/dn-angel
LUI, IL DIAVOLO - AKUMA DE SORO	https://www.animeclick.it/manga/9710/akuma-de-sourou
DREAM KISS	https://www.animeclick.it/manga/9711/dream-kiss
HARU HANA	https://www.animeclick.it/manga/9727/haru-hana
LA PRINCIPESSA SPLENDENTE	https://www.animeclick.it/manga/9728/la-principessa-splendente
