url	titolo_originale	titolo_inglese	casa_ed	nazionalità	disegni	storia	categoria	genere	anno	volumi	stato_patria	stato_ita	disponibilità	valutazione	opinioni	serializzato	tag	utenti	trama
https://www.animeclick.it/manga/9542/dragonball	Dragon Ball	Dragon Ball	Shueisha	Giappone	Akira Toriyama	Akira Toriyama	Shounen	Avventura  Azione  Combattimento  Demenziale  Fantascienza  Fantasy	1984	42	completato	Riedizione in corso	Star Comics (compralo su Amazon.it)	8,776   (#23 in manga) (225 valutazioni con 89 recensioni)	1356  24  11 - 98,33% promosso	Shuukan Shounen Jump	viaggio  Basato-su-un-classico-della-letteratura  arti-marziali  Tornei  crescita-dei-protagonisti  torneo-arti-marziali  protagonista-orfano	290 In lettura, 1065 Completo, 31 Pausa, 38 Sospeso, 19 Da rileggere, 136 Da leggere - drop rate: 2,63%	['Trama: Goku è un bambino fuori dal comune, ha un forza straordinaria ed una lunga coda da scimmia. Il nostro eroe è orfano e non ha mai conosciuto i suoi genitori, ha sempre vissuto con il nonno. Inizia la nostra storia, Goku ormai solo, custodisce gelosamente l’unico ricordo del nonno recentemente morto, una sfera sulla quale sono disegnate quattro stelle. La vita di Goku cambia quando una ragazza di nome Bulma gli chiede di aiutarlo a ritrovare le sette sfere del drago (quando le sette sfere si riuniscono appare un drago che esaudirà qualsiasi desiderio), una delle quali è proprio il ricordo del nonno, la quarta sfera. Il nostro protagonista accetta di aiutare Bulma, e l’epopea di Dragonball ha inizio…']
https://www.animeclick.it/manga/9545/beck	Beck - Mongolian Chop Squad	Beck - Mongolian Chop Squad	Kodansha	Giappone	Harold Sakuishi	Harold Sakuishi	Shounen	Commedia  Musica	2000	34	completato	completato	Dynit (compralo su Amazon.it)	8,674   (#34 in manga) (47 valutazioni con 26 recensioni)	95  12  4 - 90,48% promosso	Shuukan Shounen Jump	Crescita-caratteriale  band-musicali  Riferimenti-alla-cultura-popolare	14 In lettura, 141 Completo, 12 Pausa, 13 Sospeso, 3 Da rileggere, 74 Da leggere - drop rate: 7,10%	"[""Trama: Yukio Tanaka, detto Koyuki, è il classico ragazzo senza arte né parte, impacciato con le ragazze e a disagio in compagnia. Insoddisfatto della propria vita, vorrebbe cambiare, diventare 'qualcuno'. Ma chi? E come? Dopo un episodio a dir poco imbarazzante, Koyuki si abbandona su una panchina e si sta piangendo addosso quando scorge un gruppo di ragazzini accanirsi contro uno strano - e inquietante - cane rappezzato. E' l'assurdo cane patchwork di Ryusuke - affascinante musicista dal nebuloso passato - e difenderlo porterà Koyuki verso una svolta che cambierà drasticamente la sua vita... Tratto dal sito dal sito dell'editore italiano DynIt.""]"
https://www.animeclick.it/manga/9546/bleach	Bleach	Bleach	Shueisha	Giappone	Tite Kubo	Tite Kubo	Shounen	Azione  Combattimento  Commedia  Fantastico  Scolastico  Soprannaturale	2001	74	completato	Riedizione in corso	Panini Comics (compralo su Amazon.it)	7,402   (#1186 in manga) (251 valutazioni con 135 recensioni)	1054  204  82 - 85,14% promosso	Shuukan Shounen Jump	Demoni  Aldilà  shinigami  Fenomeni-paranormali	671 In lettura, 404 Completo, 82 Pausa, 142 Sospeso, 9 Da rileggere, 153 Da leggere - drop rate: 10,86%	"[""Trama: La storia segue la vita di Ichigo Kurosaki, uno studente quindicenne con l'abilità di vedere i fantasmi, e di Rukia Kuchiki, uno Shinigami che lo incontra durante una caccia ad un Hollow (uno spirito maligno). Durante lo scontro con lo spirito, Rukia rimane gravemente ferita ed è costretta a trasferire parte dei suoi poteri ad Ichigo, che accetta la proposta della Shinigami nel tentativo di proteggere i suoi familiari, alimentando così la speranza di Rukia che lui sconfigga l'Hollow al suo posto. Tuttavia, durante il processo di trasferimento qualcosa va storto, e Ichigo assorbe tutti i poteri di Rukia, diventando uno Shinigami a pieno titolo. Da qui parte la loro avventura. (trama tratta da Wikipedia)""]"
https://www.animeclick.it/manga/9548/fullmetal-alchemist	Hagane no Renkin Jutsushi: Fullmetal Alchemist	Fullmetal Alchemist	Square Enix	Giappone	Hiromu Arakawa	Hiromu Arakawa	Shounen	Avventura  Azione  Commedia  Drammatico  Mistero  Psicologico  Soprannaturale	2001	27	completato	completato	Panini Comics (compralo su Amazon.it)	9,076   (#5 in manga) (266 valutazioni con 108 recensioni)	699  18  2 - 98,45% promosso	Shuukan Shounen Jump	Demoni  Aldilà  shinigami  Fenomeni-paranormali	205 In lettura, 1293 Completo, 39 Pausa, 37 Sospeso, 26 Da rileggere, 313 Da leggere - drop rate: 2,31%	"[""Trama: Ambientato in un mondo alternativo simile all'Europa di inizio 1900, narra i viaggi e la maturazione fisica e spirituale di due fratelli, Edward e Alphonse Elric. Abbandonati dal padre alchimista in tenera età e cresciuti quindi dalla sola madre Trisha, i due bambini manifestano fin da subito grandi attitudini nello studio delle scienze alchemiche. Questo li porta, anni dopo, a tentare una trasmutazione umana, il massimo dei tabù dell'alchimia, al fine di riportare in vita la madre, morta di malattia. Un’azione che pagheranno a caro prezzo, dando così inizio a una fantastica avventura che li porterà sulle tracce delle leggendaria Pietra Filosofale al fine di riparare all'errore commesso.""]"
https://www.animeclick.it/manga/9550/buzzer-beater	Buzzer Beater	Buzzer Beater	Shueisha	Giappone	Takehiko Inoue	Takehiko Inoue	Shounen	Fantascienza  Sport	1997	4	completato	completato	Panini Comics (compralo su Amazon.it)	7,378   (#1330 in manga) (13 valutazioni con 4 recensioni)	11  2  0 - 91,67% promosso	Gekkan Shounen Jump	Basket-Pallacanestro  Allenamento  Alieni  Squadra	3 In lettura, 45 Completo, 1 Pausa, 1 Sospeso, 1 Da rileggere, 15 Da leggere - drop rate: 1,96%	"['Trama: Il sogno del vecchio miliardario Yoshimune è riunire i più forti giocatori di basket della Terra, per creare una squadra degna di far parte della Lega Intergalattica. Alle selezioni partecipano centinaia di migliaia di giocatori, e solo i più forti otterranno un ingaggio da cento milioni di dollari! Tra i candidati c’è Hideyoshi, un simpatico quattordicenne dai capelli azzurri, interessato forse più ai soldi che alla sete di gloria…', ""(trama tratta dal sito dell'editore italiano Panini Comics)""]"
https://www.animeclick.it/manga/9551/slam-dunk	Slam Dunk	Slam Dunk	Shueisha	Giappone	Takehiko Inoue	Takehiko Inoue	Shounen	Commedia  Demenziale  Scolastico  Sport	1990 - 1996	31	completato	Riedizione in corso	D/Visual Panini Comics (compralo su Amazon.it)	9,201   (#3 in manga) (167 valutazioni con 73 recensioni)	570  10  11 - 97,27% promosso	Shuukan Shounen Jump	Basket-Pallacanestro  Shogakukan-Manga-Award  Amore-non-corrisposto  Allenamento  Tornei  Lavoro-di-squadra  Sottotrama-romantica  crescita-dei-protagonisti  Opera-vincitrice-di-premi	215 In lettura, 561 Completo, 17 Pausa, 21 Sospeso, 14 Da rileggere, 215 Da leggere - drop rate: 2,54%	['Trama: Hanamichi Sakuragi è una matricola del liceo Shohoku ed è sostanzialmente un attaccabrighe che non passa certo inosservato con i suoi capelli rossi fuori dal comune e con la sua altezza. Entrerà nel mondo del basket dopo essersi innamorato di una ragazza che si chiama Haruko, alla quale questo sport piace molto... quindi per conquistarla decide di entrare nella squadra di basket della sua scuola... anche se è totalmente a digiuno di questo sport, di cui non conosce nemmeno le regole! Gli inizi non saranno quindi certo dei più semplici, ma sotto sotto si potrà pian piano scoprire in lui un talento innato per questo sport!']
https://www.animeclick.it/manga/9553/hunter-x-hunter	Hunter x Hunter	Hunter x Hunter	Shueisha	Giappone	Yoshihiro Togashi	Yoshihiro Togashi	Shounen	Avventura  Azione  Combattimento  Fantastico  Psicologico  Soprannaturale	1998	36	in corso	in corso	Panini Comics (compralo su Amazon.it)	8,630   (#41 in manga) (156 valutazioni con 89 recensioni)	545  7  3 - 98,82% promosso	Shuukan Shounen Jump	Basket-Pallacanestro  Shogakukan-Manga-Award  Amore-non-corrisposto  Allenamento  Tornei  Lavoro-di-squadra  Sottotrama-romantica  crescita-dei-protagonisti  Opera-vincitrice-di-premi	435 In lettura, 153 Completo, 70 Pausa, 46 Sospeso, 8 Da rileggere, 165 Da leggere - drop rate: 6,46%	"[""Trama: Gon Freecs è un bambino prodigio dell'isola Balena (isola Kujira) che vive con la nonna e la zia. E' in grado di fare amicizia con tutti gli animali, compresi i più pericolosi, e il suo sogno è quello di diventare cacciatore (hunter), lo stesso lavoro del padre che lo ha abbandonato ancora in fasce. L'esame per diventare cacciatore è severissimo: solo 1 su 10.000 riesce anche solo a raggiungere la sede dell'esame, e dopo varie prove il numero degli ammessi è quasi sempre a una sola cifra. Il motivo per cui Gon vuole diventare cacciatore è duplice: primo ritrovare suo padre, secondo scoprire la bellezza di questo lavoro che ha spinto il padre ad abbandonare suo figlio per non doverlo interrompere. La storia inizia con Gon che riesce a convincere la zia a iscriverlo al pericoloso esame e che lascia l'Isola Balena.""]"
https://www.animeclick.it/manga/9556/one-piece	One Piece	One Piece	Shueisha	Giappone	Eiichirō Oda	Eiichirō Oda	Shounen	Avventura  Azione  Combattimento  Commedia  Fantastico	1997	96	in corso	in corso	Star Comics La Gazzetta dello Sport (compralo su Amazon.it)	8,449   (#68 in manga) (301 valutazioni con 161 recensioni)	3247  173  56 - 95,80% promosso	Shuukan Shounen Jump	pirati  Abilità-speciali  viaggio  Lavoro-di-squadra  crescita-dei-protagonisti  Caccia-al-tesoro  Navi-barche  Superpoteri	1432 In lettura, 285 Completo, 109 Pausa, 116 Sospeso, 13 Da rileggere, 167 Da leggere - drop rate: 5,93%	"['Trama: Monkey D. Rufy è un giovane pirata sognatore che da piccolo ha inavvertitamente mangiato il frutto del diavolo Gom Gom che lo rende ""elastico"", permettendogli di allungarsi e deformarsi a piacimento, a scapito, però, della capacità di nuotare. L\'obiettivo che lo ha spinto in mare è quello ambizioso di diventare il ""re dei pirati"". Dovrà, dunque, ritrovare il leggendario ""One Piece"", il magnifico tesoro lasciato dal mitico pirata Gold Roger sull\'isola di Raftel, alla fine della Rotta Maggiore, mai ritrovato e sogno di ogni pirata.', ""Nella sua avventura, Rufy riunirà intorno a lui una ciurma ben assortita, e si troverà in mezzo a situazioni bizzarre e stravaganti, tanto almeno quanto lo sono i personaggi, amici o nemici, presenti nell'universo che lo circonda, che raggiungono spesso livelli assurdi e grotteschi e che donano all'opera un'atmosfera surreale e divertente."", '(trama tratta da Wikipedia)']"
https://www.animeclick.it/manga/9557/flame-of-recca	Flame of Recca	Flame of Recca	Shogakukan	Giappone	Nobuyuki Anzai	Nobuyuki Anzai	Shounen	Avventura  Azione  Commedia  Fantastico	1995	33	completato	inedito	Nessuna	7,200   (#2133 in manga) (2 valutazioni con 1 recensioni)	0  0  0 - 0,00% promosso	Shuukan Shounen Jump	pirati  Abilità-speciali  viaggio  Lavoro-di-squadra  crescita-dei-protagonisti  Caccia-al-tesoro  Navi-barche  Superpoteri	1 In lettura, 6 Completo, 2 Pausa, 1 Sospeso, 0 Da rileggere, 14 Da leggere - drop rate: 10,00%	['Trama: Per il sedicenne Recca diventare un ninja è solo un sogno infantile, finché un incontro fatale non rivela che ha ereditato poteri ninja, inclusa l’abilità di servirsi del fuoco! E mentre Recca impara a padroneggiare le l’antica conoscenza degli antenati, è trascinato a proteggere una misteriosa fanciulla di nome Yanagi…', '(mangaupdates.com)']
https://www.animeclick.it/manga/9559/kekkaishi	Kekkaishi	Kekkaishi	Shogakukan	Giappone	Yellow Tanabe	Yellow Tanabe	Shounen	Azione  Soprannaturale	2004	35	completato	completato	Panini Comics (compralo su Amazon.it)	7,826   (#431 in manga) (26 valutazioni con 12 recensioni)	31  2  0 - 96,88% promosso	Shuukan Shounen Jump	Demoni	27 In lettura, 80 Completo, 6 Pausa, 12 Sospeso, 1 Da rileggere, 38 Da leggere - drop rate: 9,52%	"[""Trama: I bravi studenti vanno a scuola tutti i giorni. Yoshimori Sumimura deve andarci anche di notte, e non certo per studiare. Il suo scopo, infatti, è impedire ai demoni di cibarsi dell'energia maligna presente in quel luogo. Ma perché un ragazzino è costretto a cimentarsi in un'attività tanto pericolosa? È semplice: è il mestiere di famiglia. Però il povero Yoshimori non ha nessuna voglia di correre dietro ai demoni per tutta la vita, in più deve anche sorbirsi le parole di scherno della sua rivale (nonché ragazza di cui è segretamente innamorato) Tokine Yukimura. Eh sì, perché c'è una faida tra le famiglie Sumimura e Yukimura a proposito di chi sia il legittimo successore del primo kekkaishi, cioè di colui che creò l'arte di eliminare i demoni ricorrendo alla generazione di barriere mistiche. Insomma: già la vita è dura a quattordici anni, figuriamoci se bisogna fare l'esorcista! E per giunta il sogno segreto di Yoshimori è diventare un pasticcere..."", '', 'Trama estratta dalla presentazione di Panini Comics.']"
